Year,Index,GDP per capita (current US$),"Population, total",Population density (people per sq. km of land area),"Highway, total (registered vehicles)","Light duty vehicle, short wheel base",Motorcycle,"Light duty vehicle, long wheel base","Truck, single-unit 2-axle 6-tire or more","Truck, combination",Bus,ev,prop_ev
2007,1,48050.22378,301231207,32.87861136,254403081,196491176,7138476,39186974,8116672,2635347,834436,,
2008,2,48570.04598,304093966,33.24368685,255917664,196762927,7752926,39685228,8288046,2585229,843308,,
2009,3,47194.94335,306771529,33.53639923,254212611,193979654,7929724,40488025,8356097,2617118,841993,,
2010,4,48642.61002,309378227,33.8213646,250070048,190202782,8009503,40241658,8217189,2552865,846051,,
2011,5,50024.8688,311839461,34.09042779,253215681,183522635,8437502,50318787,7819055,2451638,666064,,
2012,6,51708.40116,314339099,34.36368932,253639386,183171882,8454939,50588676,8190286,2469094,764509,,
2013,7,53179.01276,316726282,34.62465723,255876822,184497490,8404687,51512740,8126007,2471349,864549,,
2014,8,54973.42075,319257560,34.90137766,260350938,187554928,8417718,52600309,8328759,2577197,872027,,
2015,9,56572.9189,321815121,35.18097136,263610219,189618308,8600936,53298884,8456302,2746882,888907,,
2016,10,57638.10184,324353340,35.45845058,268799083,192774508,8679380,54870473,8746518,2752043,976161,280300,0.001042786
2017,11,59635.09844,326608609,35.70499758,272480899,193672370,8715204,56880878,9336998,2892218,983231,377100,0.00138395
2018,12,62499.87444,328529577,35.91499866,273602100,192856211,8666185,57853642,10327899,2906011,992152,572600,0.00209282
2019,13,64746.45068,330226227,36.10047718,276491174,194348815,8596314,59465369,10160433,2925210,995033,783600,0.002834087
2020,14,63515.94918,331577720,36.248223,275936367,194788825,8347435,58890431,9908410,2990962,1010304,1018900,0.003692518
2021,15,70205.05092,332099760,36.30529264,281185492,196611629,9424769,60382963,10687394,3135181,943556,1454400,0.005172386
2022,16,76657.24888,334017321,36.51492126,282174766,196467427,9186256,61273790,11049522,3239716,958055,2442300,0.008655274
2023,17,81032.26212,336806231,36.81980613,284614269,197134299,9516910,62103995,11567428,3324112,967525,3555900,0.012493752
